"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","3",0.9048071434,0.705976636577506,"3",0.9048071434,0.705976636577506,"3"
"AROnto","3",0.9673319153,0.896645955712041,"3",0.9673319153,0.896645955712041,"3"
"CBOOnto","5",0.8986290305,0.627826993968927,"3",0.8462660075,0.789621483167518,"3"
"CBOOnto2","5",0.8986290305,0.627826993968927,"3",0.8462660075,0.789621483167518,"3"
"CROnto","8",0.7496746543,0.853927183289729,"3",0.7410732442,0.96800786427364,"3"
"DITOnto","3",0.9662924574,0.701184713627013,"15",0,0.832149493019058,"3"
"INROnto","5",0.9089665936,0.643325434774756,"3",0.9034667567,0.803499767852098,"3"
"LCOMOnto","8",0.8738791395,0.629376486567335,"3",0.7250738076,0.686423045176529,"8"
"NACOnto","7",0.9019590173,0.809024774519584,"8",0.8164714203,0.818560719419677,"8"
"NOCOnto","3",0.8696517953,0.641087963417265,"5",0.745172746,0.642471724245414,"3"
"NOMOnto","7",0.8362245199,0.673106111652808,"3",0.8133363316,0.862524409732456,"3"
"POnto","3",0.9204096683,0.790591727716708,"3",0.9204096683,0.790591727716708,"3"
"PROnto","4",0.9358020961,0.680322518086203,"7",0.8017821489,0.684006605549603,"7"
"RFCOnto","7",0.8445832613,0.65990438610611,"3",0.8049827035,0.858026171025932,"3"
"RROnto","4",0.9354694467,0.680322518088505,"7",0.799497461,0.684006605560094,"7"
"TMOnto","8",0.8707448721,0.842324597250687,"8",0.8707448721,0.842324597250687,"8"
"TMOnto2","4",0.9476889746,0.890312234382939,"8",0.8213915729,0.906143775835444,"8"
"WMCOnto","4",0.923328952,0.669856066553974,"3",0.8594049203,0.827719924662375,"3"
"WMCOnto2","3",0.8755349681,0.883132503540548,"3",0.8755349681,0.883132503540548,"3"
